shops/id,shops/name,shops/address,shops/latitude,shops/longitude,shops/rating,shops/ratingCount,shops/imageUrl,shops/galleryImages/0,shops/galleryImages/1,shops/owner/id,shops/owner/name,shops/owner/email,shops/owner/phoneNumber,shops/owner/profileImageUrl,shops/motorbikes/0,shops/motorbikes/1,shops/motorbikes/2,shops/motorbikes/3,shops/motorbikes/4,shops/motorbikes/5,shops/motorbikes/6,shops/description,shops/userReviews/0/userName,shops/userReviews/0/userAvatarUrl,shops/userReviews/0/rating,shops/userReviews/0/comment,shops/userReviews/1/userName,shops/userReviews/1/userAvatarUrl,shops/userReviews/1/rating,shops/userReviews/1/comment
shop_001,Sài Gòn Bike Rent,"19-5 Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh",10.78264387055050,106.67204290140100,4.8,103,https://upload.wikimedia.org/wikipedia/vi/thumb/1/1d/Manchester_City_FC_logo.svg/330px-Manchester_City_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/vi/thumb/1/1d/Manchester_City_FC_logo.svg/330px-Manchester_City_FC_logo.svg.png,https://cdn.honda.com.vn/motorbikes/November2024/sYTCNfgI5E0JUJ8BCTQ3.png,owner_001,Nguyễn Hữu Tín,nguyen.huutin@hotmail.com,"""+84 902 781 4930""",https://randomuser.me/api/portraits/men/32.jpg,bike_001,bike_002,bike_003,bike_004,bike_005,bike_006,bike_007,"Focuses on tourist and city exploration rentals, often offering high-quality mountain bikes or trekking bikes suitable for navigating the city. They typically offer daily, multi-day, and weekly rates, sometimes including accessories like helmets and locks.",John Smith,https://randomuser.me/api/portraits/men/32.jpg,5,Excellent service! The bikes are in great condition and the staff is very friendly and helpful.,Emma Wilson,https://randomuser.me/api/portraits/women/44.jpg,4.5,Great experience overall. The booking process was smooth and the bike was clean and ready to go.
shop_002,ChillBike Thảo Điền,"143 Nguyễn Văn Trỗi, Phường 11, Phú Nhuận, Thành phố Hồ Chí Minh",10.79457424297680,106.67697816601900,4.5,124,https://images.unsplash.com/photo-1502744663323-2c3e4c9b432f?q=80&w=2070&auto=format&fit=crop,https://images.unsplash.com/photo-1502744663323-2c3e4c9b432f?q=80&w=2070&auto=format&fit=crop,https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2020/12/4/859785/Honda-Wave-Alpha-1.jpg,owner_002,Maria Phạm,maria.pham@gmail.com,"""+84 903 559 8721""",https://randomuser.me/api/portraits/men/52.jpg,bike_005,bike_006,bike_007,bike_008,bike_009,bike_010,bike_011,"Likely a rental spot located in the Thảo Điền area of District 2, a popular expatriate and riverside neighborhood. Focuses on comfortable cruiser or city bikes for leisurely, short-distance cycling within the district, perfect for a ""chill"" ride.",Michael Chen,https://randomuser.me/api/portraits/men/52.jpg,4,Good service and fair prices. The scooter was perfect for getting around the city.,Sarah Johnson,https://randomuser.me/api/portraits/women/65.jpg,4.5,Very professional and helpful staff. Would definitely rent from them again!
shop_003,Urban Wheel Rental,"74 Trần Huy Liệu, Phường 11, Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",10.7973954072,106.6776290109,4.7,104,https://images.unsplash.com/photo-1625043484555-ea2a85b15a32?q=80&w=1974&auto=format&fit=crop,https://images.unsplash.com/photo-1625043484555-ea2a85b15a32?q=80&w=1974&auto=format&fit=crop,https://cdn.honda.com.vn/motorbikes/November2025/Ct4fwHf30WMsLzbDq6IB.png,owner_003,Diệp Hoàng Trúc Mai,tran.khanhduy@gmail.com,"""+84 904 120 6352""",https://randomuser.me/api/portraits/men/88.jpg,bike_009,bike_010,bike_011,bike_012,bike_013,bike_014,bike_015,"A modern, possibly app-based or delivery-focused service offering a variety of vehicles, which may include high-end e-bikes or stylish urban bicycles. The name suggests a focus on convenience and modern mobility within the city.",David Lee,https://randomuser.me/api/portraits/men/88.jpg,5,Amazing selection of bikes! Rented an adventure bike for a trip to Da Lat and it was fantastic.,Lisa Anderson,https://randomuser.me/api/portraits/women/72.jpg,4.8,Highly recommend! The staff took time to explain everything and the bike was in perfect condition.
shop_004,Cyclo House Rentals,"207 Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",10.8122714265,106.6926899265,4.9,97,https://images.unsplash.com/photo-1575623138953-c3a1c1f5a999?q=80&w=1974&auto=format&fit=crop,https://images.unsplash.com/photo-1575623138953-c3a1c1f5a999?q=80&w=1974&auto=format&fit=crop,https://media-cdn-v2.laodong.vn/storage/newsportal/2024/6/21/1355800/Vision-The-Thao-1.jpg,owner_004,Lê Duy Hưng,le.duyhung@gmail.com,"""+84 905 893 2163""",https://randomuser.me/api/portraits/men/75.jpg,bike_015,bike_016,bike_017,bike_018,bike_019,bike_020,bike_020,"The ""Cyclo House"" name suggests a focus on traditional or vintage-style Vietnamese bikes, or a service associated with guesthouses/tours. Could offer rentals for a unique, nostalgic, slow-paced city experience.",Tom Harris,https://randomuser.me/api/portraits/men/75.jpg,5,Best bike rental in District 2! Super convenient location and the bike was brand new.,Emily White,https://randomuser.me/api/portraits/women/28.jpg,4.9,Fantastic service! The owner was very helpful and gave great recommendations for places to visit.
shop_005,Lotus Bike Service,"281 Bạch Đằng Phường 2, Bình Thạnh, Thành phố Hồ Chí Minh",10.8030517262,106.7058068796,3.4,54,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxtXeID4-wLJuscjk7bAuQb-4tcGTXe_9wVg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxtXeID4-wLJuscjk7bAuQb-4tcGTXe_9wVg&s,https://thanhnien.mediacdn.vn/uploaded/bahung/z-ba-hung-2021/thang-7-2021/xe-may-so/xe-may-so_thanhnien-5_NCUT.jpg?width=500,owner_005,Nguyễn Thái Hà,nguyen.thaiha@gmail.com,"""+84 906 447 0574""",https://randomuser.me/api/portraits/men/15.jpg,bike_008,bike_015,bike_003,bike_011,bike_019,bike_006,bike_014,"Likely a professional bike repair, maintenance, and rental shop. The name implies quality service and may be located near a hotel or major landmark (like Lotus SaiGon Hotel) that offers bike rental as an amenity.",,https://randomuser.me/api/portraits/men/15.jpg,,,,,,
shop_006,Bike Saigon Hub,"1A Nguyễn Văn Thủ, Đa Kao, Quận 1, Thành phố Hồ Chí Minh",10.7925671284,106.7015419228,5.0,56,https://vexere.com/vn/thue-xe/wp-content/uploads/2025/04/Xe-may-Trung-Motorbike-e1743698063847.jpeg,https://vexere.com/vn/thue-xe/wp-content/uploads/2025/04/Xe-may-Trung-Motorbike-e1743698063847.jpeg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn6dr1NR-moT3uagv-fixNIThxTAyfX7071w&s,owner_006,Võ Thảo Linh,vo.thaolinh@gmail.com,"""+84 907 312 9085""",https://randomuser.me/api/portraits/men/62.jpg,bike_002,bike_017,bike_010,bike_005,bike_013,bike_007,bike_020,"Suggests a centralized location or a major shop dealing in bike sales, components, and potentially rentals. May specialize in specific bike types (like road or mountain bikes) and serve as a meeting point for cyclists.",,https://randomuser.me/api/portraits/men/62.jpg,,,,,,
shop_007,Đi Đi Bike Station,"35 Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","10.782387849623293,",106.6977886886,4.0,135,https://inhat.vn/wp-content/uploads/2022/05/xe-may-cu-vinh-long-5-min.png,https://inhat.vn/wp-content/uploads/2022/05/xe-may-cu-vinh-long-5-min.png,https://cdn.honda.com.vn/motorbikes/July2023/lRSLOVgUWsWtYYKw0FSP.png,owner_007,Hồ Minh Lộc,ho.minhloc@gmail.com,"""+84 908 675 3496""",https://randomuser.me/api/portraits/men/48.jpg,bike_016,bike_004,bike_012,bike_009,bike_018,bike_001,bike_003,"""Đi Đi"" means ""Go Go,"" suggesting a service focused on convenient, short-term rentals or a network of stations across the city, similar to a public bike-sharing model, making it easy to pick up and drop off.",,https://randomuser.me/api/portraits/men/48.jpg,,,,,,
shop_008,GreenRoad Rentals,"147 Trần Hưng Đạo, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh","10.766743215344633,",106.6945356383,4.3,83,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/04_2021/thue-xe-may-ha-noi-motogo_1.jpg,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/04_2021/thue-xe-may-ha-noi-motogo_1.jpg,,owner_008,Phạm Quang Minh,pham.quangminh@gmail.com,"""+84 909 238 7607""",https://randomuser.me/api/portraits/men/75.jpg,bike_007,bike_011,bike_019,bike_002,bike_016,bike_010,bike_005,"Implies a focus on eco-friendly travel and could specialize in sturdy, touring-style bikes or e-bikes suitable for longer trips or exploring green spaces and parks.",,https://randomuser.me/api/portraits/men/75.jpg,,,,,,
shop_009,SunnyCycling Việt Nam,"331BC Trần Hưng Đạo, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh",10.7616231325,106.6900767602,4.6,133,https://static.vinwonders.com/production/2025/06/Some-shops-offer-one-way-motorbike-rental-Da-Nang-for-convenience.jpg,https://static.vinwonders.com/production/2025/06/Some-shops-offer-one-way-motorbike-rental-Da-Nang-for-convenience.jpg,https://cdn2.tuoitre.vn/thumb_w/480/471584752817336320/2023/1/28/honda-scoopy-16748981557421697131056.jpeg,owner_009,Trần Phương Lan,tran.phuonglan@gmail.com,"""+84 901 504 3218""",https://randomuser.me/api/portraits/men/42.jpg,bike_014,bike_006,bike_015,bike_008,bike_012,bike_004,bike_017,"Likely caters to both local and international tourists who want to explore Vietnam on two wheels. May offer multi-day touring bikes, long-term rentals, and possibly guided cycling tours around the region.",,https://randomuser.me/api/portraits/men/42.jpg,,,,,,
shop_010,Thành Công Bike & Gear,"291 Bến Vân Đồn, Phường 2, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",10.7584423234,106.6939263265,3.3,62,https://static.vinwonders.com/production/2025/06/Da-Nang-motorcycle-rental-often-includes-helmets-and-raincoats.jpg,https://static.vinwonders.com/production/2025/06/Da-Nang-motorcycle-rental-often-includes-helmets-and-raincoats.jpg,https://tayamotor.vn/wp-content/uploads/2024/06/xe-may-50cc-viet-thai-sirius-fc-vanh-duc457-400x400.jpg,owner_010,Đinh Quốc Anh,dinh.quocanh@hotmail.com,"""+84 902 886 9029""",https://randomuser.me/api/portraits/men/12.jpg,bike_001,bike_020,bike_003,bike_018,bike_005,bike_013,bike_009,"The name ""Thành Công"" (Success/Achievement) suggests a focus on quality, professional equipment, likely offering a range of gear, accessories, and higher-end road/mountain bike rentals for serious enthusiasts.",,https://randomuser.me/api/portraits/men/12.jpg,,,,,,
