id,username,email,password,total_point,avatar_url,dob,gender,phone
1,thuy.duong88,thuy.duong88@example.com,pass_D9X3G,1523,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1993-05-12,Female,0912123456
2,nam_hoang99,nam_hoang99@example.com,pass_A1R7K,387,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1985-11-20,Male,0903987654
3,trang.nguyen.a,trang.nguyen.a@example.com,pass_B4T0L,9405,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,2001-01-01,Female,0868112233
4,minh_duc_vn,minh_duc_vn@example.com,pass_C5P6M,2112,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1978-08-25,Male,0977456789
5,anh.tuan.b,anh.tuan.b@example.com,pass_F8E2N,550,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1997-03-17,Male,0899665544
6,linh.pham77,linh.pham77@example.com,pass_G0S9J,11025,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1989-10-05,Female,0919234567
7,quang_huy_c,quang_huy_c@example.com,pass_H2U1Z,45,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,2003-12-30,Male,0388765432
8,mai.loan.d,mai.loan.d@example.com,pass_J6Y4X,7890,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1980-06-14,Female,0962345678
9,duy_khang_e,duy_khang_e@example.com,pass_K3W5V,120,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1995-09-03,Male,0908101214
10,phuong.thao.f,phuong.thao.f@example.com,pass_L7Q8R,3540,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1991-04-28,Female,0979556677
11,van.anh.g,van.anh.g@example.com,pass_M1N2O,6500,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1983-02-19,Female,0888901234
12,tien_dat_h,tien_dat_h@example.com,pass_P4S3T,188,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,2000-07-07,Male,0356789012
13,huong.giang.i,huong.giang.i@example.com,pass_R9U0V,9999,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1975-12-10,Female,0945678901
14,viet_anh_j,viet_anh_j@example.com,pass_S2W1X,410,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1992-05-01,Male,0934567890
15,lan.huong.k,lan.huong.k@example.com,pass_T5Y7Z,13000,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1987-09-22,Female,0981123456
16,thanh.long.l,thanh.long.l@example.com,pass_U8A3B,77,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,2004-03-08,Male,0377889900
17,ngoc.hien.m,ngoc.hien.m@example.com,pass_V0C6D,5120,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1981-01-27,Female,0915432109
18,huy_phong_n,huy_phong_n@example.com,pass_W9F5G,1900,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1998-06-16,Male,0905678901
19,diem.my.o,diem.my.o@example.com,pass_X2H7I,100,https://velle.vn/wp-content/uploads/2025/04/avatar-mac-dinh-4.jpg,1979-11-09,Female,0866543210
